VBE	Ib(Q1)	Ic(Q1)
0.000000000000000e+00	-4.029050e-12	4.100994e-12
1.000000000000000e-03	-4.025596e-12	4.102816e-12
2.000000000000000e-03	-4.022111e-12	4.104638e-12
3.000000000000000e-03	-4.018596e-12	4.106095e-12
4.000000000000000e-03	-4.015049e-12	4.109009e-12
5.000000000000000e-03	-4.011470e-12	4.111559e-12
6.000000000000000e-03	-4.007858e-12	4.113745e-12
7.000000000000000e-03	-4.004213e-12	4.115931e-12
8.000000000000000e-03	-4.000534e-12	4.119210e-12
9.000000000000001e-03	-3.996819e-12	4.121760e-12
1.000000000000000e-02	-3.993069e-12	4.124310e-12
1.100000000000000e-02	-3.989283e-12	4.127953e-12
1.200000000000000e-02	-3.985460e-12	4.131596e-12
1.300000000000000e-02	-3.981598e-12	4.134510e-12
1.400000000000000e-02	-3.977698e-12	4.138518e-12
1.500000000000000e-02	-3.973759e-12	4.142161e-12
1.600000000000000e-02	-3.969779e-12	4.146168e-12
1.700000000000000e-02	-3.965758e-12	4.150540e-12
1.800000000000000e-02	-3.961695e-12	4.155276e-12
1.900000000000000e-02	-3.957589e-12	4.160012e-12
2.000000000000000e-02	-3.953439e-12	4.164748e-12
2.100000000000000e-02	-3.949244e-12	4.169848e-12
2.200000000000000e-02	-3.945004e-12	4.174584e-12
2.300000000000000e-02	-3.940716e-12	4.180778e-12
2.400000000000000e-02	-3.936382e-12	4.186242e-12
2.500000000000000e-02	-3.931999e-12	4.192800e-12
2.600000000000000e-02	-3.927566e-12	4.198993e-12
2.700000000000000e-02	-3.923082e-12	4.206279e-12
2.800000000000000e-02	-3.918547e-12	4.212836e-12
2.900000000000000e-02	-3.913959e-12	4.220487e-12
3.000000000000000e-02	-3.909316e-12	4.228137e-12
3.100000000000000e-02	-3.904619e-12	4.235788e-12
3.200000000000000e-02	-3.899866e-12	4.244531e-12
3.300000000000000e-02	-3.895055e-12	4.253274e-12
3.400000000000000e-02	-3.890185e-12	4.262018e-12
3.500000000000000e-02	-3.885255e-12	4.271854e-12
3.600000000000000e-02	-3.880265e-12	4.281690e-12
3.700000000000000e-02	-3.875211e-12	4.291891e-12
3.800000000000000e-02	-3.870095e-12	4.303185e-12
3.900000000000000e-02	-3.864913e-12	4.314114e-12
4.000000000000000e-02	-3.859665e-12	4.326136e-12
4.100000000000000e-02	-3.854348e-12	4.338522e-12
4.200000000000000e-02	-3.848963e-12	4.350909e-12
4.300000000000000e-02	-3.843507e-12	4.364023e-12
4.400000000000000e-02	-3.837979e-12	4.378596e-12
4.500000000000000e-02	-3.832375e-12	4.393168e-12
4.600000000000000e-02	-3.826698e-12	4.407740e-12
4.700000000000000e-02	-3.820944e-12	4.423770e-12
4.800000000000000e-02	-3.815109e-12	4.440892e-12
4.900000000000000e-02	-3.809196e-12	4.457286e-12
5.000000000000000e-02	-3.803201e-12	4.474773e-12
5.100000000000000e-02	-3.797122e-12	4.493717e-12
5.200000000000000e-02	-3.790958e-12	4.512660e-12
5.300000000000000e-02	-3.784705e-12	4.533061e-12
5.400000000000000e-02	-3.778365e-12	4.554191e-12
5.500000000000000e-02	-3.771933e-12	4.575685e-12
5.600000000000000e-02	-3.765407e-12	4.597908e-12
5.700000000000000e-02	-3.758788e-12	4.621952e-12
5.800000000000000e-02	-3.752072e-12	4.646361e-12
5.900000000000000e-02	-3.745255e-12	4.672227e-12
6.000000000000000e-02	-3.738338e-12	4.698821e-12
6.100000000000000e-02	-3.731318e-12	4.727237e-12
6.200000000000000e-02	-3.724192e-12	4.755652e-12
6.300000000000000e-02	-3.716959e-12	4.785890e-12
6.400000000000000e-02	-3.709615e-12	4.816856e-12
6.500000000000000e-02	-3.702158e-12	4.849279e-12
6.600000000000000e-02	-3.694588e-12	4.883524e-12
6.700000000000000e-02	-3.686901e-12	4.919226e-12
6.800000000000000e-02	-3.679092e-12	4.955657e-12
6.900000000000001e-02	-3.671162e-12	4.993180e-12
7.000000000000001e-02	-3.663108e-12	5.033254e-12
7.100000000000001e-02	-3.654925e-12	5.075149e-12
