vce	Ic(Q1)
0.000000000000000e+00	-4.416099e-06
1.000000000000000e-03	-3.577936e-06
2.000000000000000e-03	-2.708249e-06
3.000000000000000e-03	-1.805909e-06
4.000000000000000e-03	-8.697544e-07
5.000000000000000e-03	1.014146e-07
6.000000000000000e-03	1.108835e-06
7.000000000000000e-03	2.153781e-06
8.000000000000000e-03	3.237568e-06
9.000000000000001e-03	4.361547e-06
1.000000000000000e-02	5.527112e-06
1.100000000000000e-02	6.735697e-06
1.200000000000000e-02	7.988777e-06
1.300000000000000e-02	9.287870e-06
1.400000000000000e-02	1.063454e-05
1.500000000000000e-02	1.203038e-05
1.600000000000000e-02	1.347704e-05
1.700000000000000e-02	1.497621e-05
1.800000000000000e-02	1.652963e-05
1.900000000000000e-02	1.813907e-05
2.000000000000000e-02	1.980636e-05
2.100000000000000e-02	2.153336e-05
2.200000000000000e-02	2.332198e-05
2.300000000000000e-02	2.517418e-05
2.400000000000000e-02	2.709196e-05
2.500000000000000e-02	2.907736e-05
2.600000000000000e-02	3.113246e-05
2.700000000000000e-02	3.325939e-05
2.800000000000000e-02	3.546032e-05
2.900000000000000e-02	3.773746e-05
3.000000000000000e-02	4.009305e-05
3.100000000000000e-02	4.252938e-05
3.200000000000000e-02	4.504877e-05
3.300000000000000e-02	4.765357e-05
3.400000000000000e-02	5.034617e-05
3.500000000000000e-02	5.312900e-05
3.600000000000000e-02	5.600448e-05
3.700000000000000e-02	5.897509e-05
3.800000000000000e-02	6.204332e-05
3.900000000000000e-02	6.521168e-05
4.000000000000000e-02	6.848269e-05
4.100000000000000e-02	7.185888e-05
4.200000000000000e-02	7.534280e-05
4.300000000000000e-02	7.893700e-05
4.400000000000000e-02	8.264399e-05
4.500000000000000e-02	8.646634e-05
4.600000000000000e-02	9.040655e-05
4.700000000000000e-02	9.446713e-05
4.800000000000000e-02	9.865054e-05
4.900000000000000e-02	1.029593e-04
5.000000000000000e-02	1.073957e-04
5.100000000000000e-02	1.119621e-04
5.200000000000000e-02	1.166610e-04
5.300000000000000e-02	1.214945e-04
5.400000000000000e-02	1.264648e-04
5.500000000000000e-02	1.315740e-04
5.600000000000000e-02	1.368242e-04
5.700000000000000e-02	1.422173e-04
5.800000000000000e-02	1.477551e-04
5.900000000000000e-02	1.534394e-04
6.000000000000000e-02	1.592718e-04
6.100000000000000e-02	1.652537e-04
6.200000000000000e-02	1.713865e-04
6.300000000000000e-02	1.776714e-04
6.400000000000000e-02	1.841095e-04
6.500000000000000e-02	1.907016e-04
6.600000000000000e-02	1.974484e-04
6.700000000000000e-02	2.043505e-04
6.800000000000000e-02	2.114082e-04
6.900000000000001e-02	2.186217e-04
7.000000000000001e-02	2.259908e-04
7.100000000000001e-02	2.335153e-04
7.200000000000001e-02	2.411947e-04
7.300000000000000e-02	2.490283e-04
7.400000000000000e-02	2.570151e-04
7.500000000000000e-02	2.651539e-04
7.600000000000000e-02	2.734432e-04
7.700000000000000e-02	2.818813e-04
7.800000000000000e-02	2.904664e-04
7.900000000000000e-02	2.991961e-04
8.000000000000000e-02	3.080681e-04
8.100000000000000e-02	3.170796e-04
8.200000000000000e-02	3.262276e-04
8.300000000000000e-02	3.355090e-04
8.400000000000001e-02	3.449201e-04
8.500000000000001e-02	3.544574e-04
8.600000000000001e-02	3.641167e-04
8.700000000000001e-02	3.738940e-04
8.799999999999999e-02	3.837846e-04
