temperature	I(RC)
0.000000000000000e+00	1.228590e-03
1.000000000000000e+00	1.231041e-03
2.000000000000000e+00	1.233484e-03
3.000000000000000e+00	1.235917e-03
4.000000000000000e+00	1.238342e-03
5.000000000000000e+00	1.240759e-03
6.000000000000000e+00	1.243167e-03
7.000000000000000e+00	1.245567e-03
8.000000000000000e+00	1.247959e-03
9.000000000000000e+00	1.250342e-03
1.000000000000000e+01	1.252717e-03
1.100000000000000e+01	1.255085e-03
1.200000000000000e+01	1.257444e-03
1.300000000000000e+01	1.259795e-03
1.400000000000000e+01	1.262139e-03
1.500000000000000e+01	1.264474e-03
1.600000000000000e+01	1.266802e-03
1.700000000000000e+01	1.269123e-03
1.800000000000000e+01	1.271435e-03
1.900000000000000e+01	1.273740e-03
2.000000000000000e+01	1.276038e-03
2.100000000000000e+01	1.278328e-03
2.200000000000000e+01	1.280611e-03
2.300000000000000e+01	1.282886e-03
2.400000000000000e+01	1.285154e-03
2.500000000000000e+01	1.287415e-03
2.600000000000000e+01	1.289668e-03
2.700000000000000e+01	1.291915e-03
2.800000000000000e+01	1.294155e-03
2.900000000000000e+01	1.296387e-03
3.000000000000000e+01	1.298613e-03
3.100000000000000e+01	1.300831e-03
3.200000000000000e+01	1.303043e-03
3.300000000000000e+01	1.305248e-03
3.400000000000000e+01	1.307447e-03
3.500000000000000e+01	1.309638e-03
3.600000000000000e+01	1.311823e-03
3.700000000000000e+01	1.314002e-03
3.800000000000000e+01	1.316174e-03
3.900000000000000e+01	1.318339e-03
4.000000000000000e+01	1.320498e-03
4.100000000000000e+01	1.322651e-03
4.200000000000000e+01	1.324797e-03
4.300000000000000e+01	1.326937e-03
4.400000000000000e+01	1.329071e-03
4.500000000000000e+01	1.331198e-03
4.600000000000000e+01	1.333320e-03
4.700000000000000e+01	1.335435e-03
4.800000000000000e+01	1.337545e-03
4.900000000000000e+01	1.339648e-03
5.000000000000000e+01	1.341746e-03
5.100000000000000e+01	1.343837e-03
5.200000000000000e+01	1.345923e-03
5.300000000000000e+01	1.348003e-03
5.400000000000000e+01	1.350077e-03
5.500000000000000e+01	1.352145e-03
5.600000000000000e+01	1.354208e-03
5.700000000000000e+01	1.356265e-03
5.800000000000000e+01	1.358316e-03
5.900000000000000e+01	1.360362e-03
6.000000000000000e+01	1.362402e-03
6.100000000000000e+01	1.364437e-03
6.200000000000000e+01	1.366467e-03
6.300000000000000e+01	1.368491e-03
6.400000000000000e+01	1.370509e-03
6.500000000000000e+01	1.372523e-03
6.600000000000000e+01	1.374531e-03
6.700000000000000e+01	1.376534e-03
6.800000000000000e+01	1.378532e-03
6.900000000000000e+01	1.380524e-03
7.000000000000000e+01	1.382512e-03
7.100000000000000e+01	1.384494e-03
7.200000000000000e+01	1.386472e-03
7.300000000000000e+01	1.388444e-03
7.400000000000000e+01	1.390412e-03
7.500000000000000e+01	1.392375e-03
7.600000000000000e+01	1.394332e-03
7.700000000000000e+01	1.396285e-03
7.800000000000000e+01	1.398234e-03
7.900000000000000e+01	1.400177e-03
8.000000000000000e+01	1.402116e-03
8.100000000000000e+01	1.404050e-03
8.200000000000000e+01	1.405979e-03
8.300000000000000e+01	1.407904e-03
8.400000000000000e+01	1.409824e-03
8.500000000000000e+01	1.411740e-03
8.600000000000000e+01	1.413652e-03
8.700000000000000e+01	1.415559e-03
8.800000000000000e+01	1.417461e-03
8.900000000000000e+01	1.419359e-03
9.000000000000000e+01	1.421253e-03
9.100000000000000e+01	1.423143e-03
9.200000000000000e+01	1.425028e-03
9.300000000000000e+01	1.426910e-03
9.400000000000000e+01	1.428787e-03
9.500000000000000e+01	1.430660e-03
9.600000000000000e+01	1.432529e-03
9.700000000000000e+01	1.434393e-03
9.800000000000000e+01	1.436254e-03
9.900000000000000e+01	1.438111e-03
1.000000000000000e+02	1.439965e-03
