temperature	Ic(Q1)
0.000000000000000e+00	1.160494e-03
1.000000000000000e+00	1.167462e-03
2.000000000000000e+00	1.174448e-03
3.000000000000000e+00	1.181452e-03
4.000000000000000e+00	1.188474e-03
5.000000000000000e+00	1.195514e-03
6.000000000000000e+00	1.202572e-03
7.000000000000000e+00	1.209647e-03
8.000000000000000e+00	1.216741e-03
9.000000000000000e+00	1.223852e-03
1.000000000000000e+01	1.230981e-03
1.100000000000000e+01	1.238129e-03
1.200000000000000e+01	1.245293e-03
1.300000000000000e+01	1.252476e-03
1.400000000000000e+01	1.259677e-03
1.500000000000000e+01	1.266895e-03
1.600000000000000e+01	1.274132e-03
1.700000000000000e+01	1.281386e-03
1.800000000000000e+01	1.288658e-03
1.900000000000000e+01	1.295948e-03
2.000000000000000e+01	1.303255e-03
2.100000000000000e+01	1.310581e-03
2.200000000000000e+01	1.317924e-03
2.300000000000000e+01	1.325285e-03
2.400000000000000e+01	1.332664e-03
2.500000000000000e+01	1.340060e-03
2.600000000000000e+01	1.347475e-03
2.700000000000000e+01	1.354907e-03
2.800000000000000e+01	1.362357e-03
2.900000000000000e+01	1.369825e-03
3.000000000000000e+01	1.377310e-03
3.100000000000000e+01	1.384813e-03
3.200000000000000e+01	1.392334e-03
3.300000000000000e+01	1.399873e-03
3.400000000000000e+01	1.407429e-03
3.500000000000000e+01	1.415004e-03
3.600000000000000e+01	1.422595e-03
3.700000000000000e+01	1.430205e-03
3.800000000000000e+01	1.437832e-03
3.900000000000000e+01	1.445477e-03
4.000000000000000e+01	1.453140e-03
4.100000000000000e+01	1.460821e-03
4.200000000000000e+01	1.468519e-03
4.300000000000000e+01	1.476235e-03
4.400000000000000e+01	1.483968e-03
4.500000000000000e+01	1.491720e-03
4.600000000000000e+01	1.499489e-03
4.700000000000000e+01	1.507275e-03
4.800000000000000e+01	1.515080e-03
4.900000000000000e+01	1.522902e-03
5.000000000000000e+01	1.530742e-03
5.100000000000000e+01	1.538599e-03
5.200000000000000e+01	1.546474e-03
5.300000000000000e+01	1.554367e-03
5.400000000000000e+01	1.562277e-03
5.500000000000000e+01	1.570205e-03
5.600000000000000e+01	1.578151e-03
5.700000000000000e+01	1.586115e-03
5.800000000000000e+01	1.594096e-03
5.900000000000000e+01	1.602095e-03
6.000000000000000e+01	1.610111e-03
6.100000000000000e+01	1.618145e-03
6.200000000000000e+01	1.626197e-03
6.300000000000000e+01	1.634267e-03
6.400000000000000e+01	1.642354e-03
6.500000000000000e+01	1.650459e-03
6.600000000000000e+01	1.658582e-03
6.700000000000000e+01	1.666722e-03
6.800000000000000e+01	1.674880e-03
6.900000000000000e+01	1.683056e-03
7.000000000000000e+01	1.691249e-03
7.100000000000000e+01	1.699461e-03
7.200000000000000e+01	1.707690e-03
7.300000000000000e+01	1.715936e-03
7.400000000000000e+01	1.724201e-03
7.500000000000000e+01	1.732483e-03
7.600000000000000e+01	1.740783e-03
7.700000000000000e+01	1.749101e-03
7.800000000000000e+01	1.757437e-03
7.900000000000000e+01	1.765791e-03
8.000000000000000e+01	1.774162e-03
8.100000000000000e+01	1.782551e-03
8.200000000000000e+01	1.790959e-03
8.300000000000000e+01	1.799384e-03
8.400000000000000e+01	1.807827e-03
8.500000000000000e+01	1.816288e-03
8.600000000000000e+01	1.824768e-03
8.700000000000000e+01	1.833265e-03
8.800000000000000e+01	1.841780e-03
8.900000000000000e+01	1.850314e-03
9.000000000000000e+01	1.858866e-03
9.100000000000000e+01	1.867436e-03
9.200000000000000e+01	1.876025e-03
9.300000000000000e+01	1.884632e-03
9.400000000000000e+01	1.893257e-03
9.500000000000000e+01	1.901901e-03
9.600000000000000e+01	1.910563e-03
9.700000000000000e+01	1.919244e-03
9.800000000000000e+01	1.927944e-03
9.900000000000000e+01	1.936662e-03
1.000000000000000e+02	1.945400e-03
